2018-02-28_13-45-29 Am Bauernwald 10 81739 Muenchen.png,0
2018-02-28_13-42-48 Pfarrweg 4 63879 Weibersbrunn.png,0
2018-02-28_13-44-37 Waldperlacher Strasse 1 81739 Muenchen.png,0
2018-02-28_13-45-13 Am Bauernwald 2 81739 Muenchen.png,0
2018-02-28_13-34-29 Marktoberdorfer Strasse 16 87499 Wildpoldsried.png,1
2018-02-28_13-40-16 Obere Alte Poststrasse 2 95485 Warmensteinach .png,0
2018-02-28_13-38-57 Am Kastenacker 7 82266 Inning.png,1
2018-02-28_13-36-22 Gruentenstrasse 17 87499 Wildpoldsried.png,0
2018-02-28_13-39-00 Am Kastenacker 9 82266 Inning.png,1
2018-02-28_13-41-05 Sudetenstrasse 14 95485 Warmensteinach .png,0
2018-02-28_13-34-12 Marktoberdorfer Strasse 7 87499 Wildpoldsried.png,0
2018-02-28_13-45-05 Waldperlacher Strasse 17 81739 Muenchen.png,0
2018-02-28_13-38-24 Stegner Weg 2 82266 Inning.png,0
2018-02-28_13-43-27 Ruebezahlstrasse 13 81739 Muenchen.png,1
2018-02-28_13-45-32 Am Bauernwald 12 81739 Muenchen.png,0
2018-02-28_13-38-35 Stegner Weg 11 82266 Inning.png,0
2018-02-28_13-40-40 Obere Alte Poststrasse 16 95485 Warmensteinach .png,0
2018-02-28_13-40-55 Sudetenstrasse 7 95485 Warmensteinach .png,0
2018-02-28_13-38-58 Am Kastenacker 8 82266 Inning.png,1
2018-02-28_13-40-57 Sudetenstrasse 8 95485 Warmensteinach .png,0
2018-02-28_13-43-25 Ruebezahlstrasse 12 81739 Muenchen.png,1
2018-02-28_13-38-56 Am Kastenacker 6 82266 Inning.png,1
2018-02-28_13-34-40 Salzstrasse 3 87499 Wildpoldsried.png,1
2018-02-28_13-45-24 Am Bauernwald 7 81739 Muenchen.png,0
2018-02-28_13-45-31 Am Bauernwald 11 81739 Muenchen.png,0
2018-02-28_13-34-23 Marktoberdorfer Strasse 12 87499 Wildpoldsried.png,0
2018-02-28_13-45-02 Waldperlacher Strasse 15 81739 Muenchen.png,0
2018-02-28_13-39-03 Am Kastenacker 11 82266 Inning.png,1
2018-02-28_13-34-56 Salzstrasse 15 87499 Wildpoldsried.png,1
2018-02-28_13-42-27 Hauptstrasse 11 63879 Weibersbrunn.png,0
2018-02-28_13-37-47 Hirtenweg 15 82266 Inning.png,0
2018-02-28_13-36-55 Guenzacher Strasse 19 87499 Wildpoldsried.png,0
2018-02-28_13-38-18 Zweigstrasse 18 82266 Inning.png,0
2018-02-28_13-35-19 Auf dem Ghau 11 87499 Wildpoldsried.png,1
2018-02-28_13-37-24 Cypriansstrasse 20 87499 Wildpoldsried.png,0
2018-02-28_13-43-57 Lavaterstrasse 13 81739 Muenchen.png,1
2018-02-28_13-43-03 Pfarrweg 15 63879 Weibersbrunn.png,2
2018-02-28_13-44-46 Waldperlacher Strasse 6 81739 Muenchen.png,0
2018-02-28_13-34-37 Salzstrasse 1 87499 Wildpoldsried.png,1
2018-02-28_13-35-10 Auf dem Ghau 5 87499 Wildpoldsried.png,1
2018-02-28_13-39-49 Gablonzer Strasse 8 95485 Warmensteinach .png,0
2018-02-28_13-44-42 Waldperlacher Strasse 4 81739 Muenchen.png,0
